country,sku,spend_per_unit,ad_spend_eur,units_ordered
BE,2R-49NC-R697,0.0,0.0,16
BE,NX-CVPF-VCEZ,0.0,0.0,10
BE,VV-ALO-06,0.0,0.0,19
BE,VV-VITA-101,0.0,0.0,30
BE,VV-VITA-116,0.0,0.0,27
BE,VV-VITA-121,,0.0,0
BE,VV-VITA-122,0.0,0.0,1
BE,VV-VITA-153,,0.0,0
BE,VV-VITA-159,,0.0,0
BE,VV-VITA-171,,0.0,0
BE,VV-VITA-173,0.0,0.0,2
BE,VV-VITA-198,0.0,0.0,2
BE,VV-VITA-208,,0.0,0
BE,VV-VITA-237,0.0,0.0,4
BE,VV-VITA-286,,0.0,0
BE,VV-VITA-303,,0.0,0
BE,VV-VITA-320,0.0,0.0,3
BE,VV-VITA-338,,0.0,0
BE,VV-VITA-341,,0.0,0
BE,VV-VITA-342,,0.0,0
BE,VV-VITA-349,,0.0,0
BE,VV-VITA-351,,0.0,0
BE,VV-VITA-363,,0.0,0
BE,VV-VITA-367,,0.0,0
BE,VV-VITA-369,,0.0,0
BE,VV-VITA-370,0.0,0.0,12
BE,VV-VITA-371,0.0,0.0,4
BE,VV-VITA-374,,0.0,0
BE,VV-VITA-377,0.0,0.0,4
BE,VV-VITA-381,0.0,0.0,44
BE,VV-VITA-382,,0.0,0
BE,VV-VITA-384,,0.0,0
BE,VV-VITA-385,,0.0,0
BE,VV-VITA-57-V2,0.0,0.0,2
DE,2R-49NC-R697,1.371104,13029.6,9503
DE,98-VX35-DC63-Neu,5.517021,8314.15,1507
DE,9G-B3KH-DDA0-Neu,6.103615,1806.67,296
DE,A0-22PS-COWR,5.986999,4987.17,833
DE,BJ-E223-8EKW,2.673759,3620.27,1354
DE,CP-DQMG-RVN9,1.693224,982.07,580
DE,CW-BID2-NFIP,5.353378,6846.97,1279
DE,CW-KVIN-V39Y,1.094607,209.07,191
DE,Immun-Intense-1er,4.177069,484.54,116
DE,NB-49AE-8MWZ,5.10465,6773.87,1327
